audio_path|text
audio_1.wav|ความหมายของครอบครัวกะ สำหรับข้อยกะ เป็นคนที่ห่วงใย อาทรกัน ถึงสิบ่ได้เกิดร่วมกัน พ่อแม่เดียวกัน แต่ว่ากะใส่ใจ ห่วงใยกัน
audio_2.wav|มีเดครับข่อยว่าอิสระทางการเงินลงทุนมีมีครับ กะย้อนว่าเงินมันกะแบบไปทั่วไปทีบอะครับ มันกะน่าจะแบบมีอิสระ
audio_3.wav|ควรอย่างยิ่ง เพื่อที่บริการสิได้มีคุณภาพแล้วกะประสิทธิภาพมากขึ้น
audio_4.wav|งานบุญกฐินกะเป็นงานที่ กะนี่สิบำรุงหรือว่าเฮ็ด อั่น วัดนี่ให้แบบว่ามันดีขึ้น
audio_5.wav|กะเป็นคนมีระเบียบ คิดหยังก่อนสิกะเงินกะต้องคิดก่อนว่ามันจำเป็นบ่ บ่แม่นว่าสักที่จะจ่ายจ่ายซื้อซื้อซื้อ เห็นเขาหยังซื้อกะซื้อตามเขาเบิด
audio_6.wav|แน่นอนว่าหั้นเฮามีเงินเนี่ย เฮามีอิสระ เฮาอยากไปเที่ยวไสเฮาได้ หั้นเฮามีเงิน โดยเฉพาะเฮามีเงินประจำเนี่ยมันเฮาจิเฮ็ดให้เฮารู้สึกว่าอย่างน้อยเดือนนี้เฮาเฮามีเงินเฮา จะบ่ต้องทุกข์ใจหลาย
audio_7.wav|ลงทุนอิหยังผ่านมือถือกะได้บ่ปลอดภัยซ้ำ บ่ปลอดภัยเด้อ การลงทุนจะต้องศึกษาข้อมูต่างต่างก่อนก่อนการลงทุนเพื่อศึกษาความเสี่ยงหรือศึกษาโอกาสที่จะได้รับ
audio_8.wav|ผมมักก้อง ห้วยไร่ เพราะเสียงเพราะครับ แล้วกะแสดงเก่งครับ
audio_9.wav|มันกะมีผล หั้นศูนย์เปอร์เซ็นต์กะกะผ่อนได้  เพราะกะบ่ได้เสียอิหยังเลย
audio_10.wav|อยากเปลี่ยนไปเป็นทหารครับ อยากรับใซ้ชาติ
audio_11.wav|บ่มีผลดอก เพราะว่าตอนนี้กะบ่เห็นจะมีผลสักเท่าใด
audio_12.wav|กะสำคัญ เพราะว่าถ้ากะกะว่าวงเงินกะจักบาทแล้วกะจะสามารถ กำหนดได้ว่ากะสิกะวงเงินในแต่ละเดือนจักบาทจักบาท เพื่อที่ได้บ่เกินกะเจ้าของ
audio_13.wav|การจ่ายภาษีเฮ็ดให้เฮามีส่วนร่วมในการพัฒนาประเทศเพราะว่าเงินที่เฮาจ่ายไปเฮาสิเอาไปเฮาจ่ายในการ เอ่อ พัฒนาต่าง ตามนโยบายต่างต่างที่รัฐบาลเพิ่นได้หาเสียงไว้
audio_14.wav|ช่องสามสิบเอ็ด เพราะว่าเน้นเกี่ยวกับการแสดง ละคร รายการบันเทิง
audio_15.wav|เอาไปบริหารประเทศ เฮ็ดให้ประเทศเฮาเจริญรุ่งเรือง
audio_16.wav|โอกาสในการเติบโตและกำไรสิได้ เช่นทองคำแต่ก่อนสองหมื่นเก้า เดี๋ยวนี้ห้าหมื่น ซึ่งเป็นแนวโน้มที่เพิ่มขึ้นขนาดสองเท่า ซึ่งเหมาะกับการลงทุนและแปลงเป็นเงินสดได้ทันที
audio_17.wav|มักในเมืองหลายกว่า บ่แม่นว่าหยังดอก ญ้อนว่ามันไปง่ายกว่าซื่อซื่อนี่ล่ะ
audio_18.wav|บัตรเครดิตใซ้ของธนาคารกรุงไทย เพราะว่าใซ้มาโดนแล้ว แล้วเขาใซ้ปรับวงเงินเพิ่มให้ซุปี ตอนนี้ใซ้เลยได้วงเงินหลายได้ซื้อของหลาย ได้ผ่อนของหลาย
audio_19.wav|ซ่อยอยู่เดะ ลางเทื่ออ่านไปก็รู้สึกคันเป็นเจ้าของสิแก้ปัญหาแนวนี้จั่งใดดี
audio_20.wav|ก็บ่ปานใด แต่เพิ่นเน้นการศึกษาด้วยตนเอง การวิธีเอาตัวรอดจากสังคม นี่แหละ วิธีการศึกษาของครอบครัวข้อย
audio_21.wav|มันกะสิเร็ว บ่ต้องแจ้งหลายกระบวนการ กะคือผ่านทางสาขาโดยตรงเลย เขากะสิได้ดำเนินการแบบไวกว่า
audio_22.wav|ข้อยกังวลเรื่องการเงินในอนาคตอยู่ เพราะแม้ว่าสิเฮ็ดงานอยู่แต่กะบ่รู้ว่าสิพอกะบ่
audio_23.wav|ข้อยมักตีแบดที่สุด เพราะว่ามันได้เล่นนำหมู่หลายหลาย
audio_24.wav|การเว้าภาษาอีสานบ่ได้มีผลกับการตัดสินใจซื้อประกันของของเฮาเท่าใด เพราะว่าผู้ลางคนเพิ่นจะขายไป ลางเทื่อเพิ่นอยากได้ยอดซื่อซื่อ เพิ่นเฮาเว้าสนิทกับเฮา ตีสนิทกับเฮาซื่อซื่อ
audio_25.wav|ผมคิดว่ามีคนมักละครเกี่ยวกับเรื่องความฮักครับ เพราะว่ามัน มันฮักกันครับ 
